source_journal_name,target_journal_name,source_count,target_count,group_total_count,confidence,reason,generated_date
Physical review,Physical Review,4,46041,46045,high,case_only,2026-05-12
Physical review. C,Physical Review C,5307,39759,45066,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Physical review, C",Physical Review C,11,39759,39770,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physiology,The Journal of Physiology,28,44847,44875,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Physics of Fluids,Physics of Fluids,10383,34277,44660,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
HeliyonActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Heliyon,128,44079,44207,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Industrial &amp; Engineering Chemistry Research,Industrial & Engineering Chemistry Research,5121,38643,43764,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
StrokeActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Stroke,16,43739,43755,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Archives of internal medicine,Archives of Internal Medicine,170,43405,43575,high,case_only,2026-05-12
The archives of internal medicine,Archives of Internal Medicine,50,43405,43455,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
NeurosurgeryActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Neurosurgery,51,43495,43546,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Anesthesia & Analgesia,Anesthesia &amp; Analgesia,17557,22875,40432,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Anesthesia and Analgesia,Anesthesia &amp; Analgesia,2810,22875,25685,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
European journal of pharmacology,European Journal of Pharmacology,11,43133,43144,high,case_only,2026-05-12
Materials Science and Engineering A,Materials Science and Engineering: A,3756,39125,42881,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Materials Science & Engineering: A,Materials Science and Engineering: A,84,39125,39209,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
BMJ OpenActionsSearch in PubMedSearch in NLM CatalogAdd to Search,BMJ Open,6,42948,42954,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Nervous and Mental Disease,The Journal of Nervous and Mental Disease,1493,40260,41753,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal OF Nervous and Mental Disease,The Journal of Nervous and Mental Disease,531,40260,40791,high,case_only,2026-05-12
THE JOURNAL OF NERVOUS AND MENTAL DISEASE,The Journal of Nervous and Mental Disease,270,40260,40530,high,case_only,2026-05-12
The Journal of NERVOUS and MENTAL DISEASE,The Journal of Nervous and Mental Disease,114,40260,40374,high,case_only,2026-05-12
The Journal of Nervous And Mental Disease,The Journal of Nervous and Mental Disease,106,40260,40366,high,case_only,2026-05-12
The Journal of Nervous and Mental disease,The Journal of Nervous and Mental Disease,65,40260,40325,high,case_only,2026-05-12
The Journal Of Nervous and Mental Disease,The Journal of Nervous and Mental Disease,55,40260,40315,high,case_only,2026-05-12
The Journal of NERVOUS AND MENTAL DISEASE,The Journal of Nervous and Mental Disease,22,40260,40282,high,case_only,2026-05-12
The Journal of Nervous &amp; Mental Disease,The Journal of Nervous and Mental Disease,2,40260,40262,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
DiabetesActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Diabetes,62,42443,42505,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Alzheimer's &amp; Dementia,Alzheimer's & Dementia,18546,23316,41862,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Alzheimers & Dementia,Alzheimer's & Dementia,107,23316,23423,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Neuroscience,Journal of Neuroscience,11952,29889,41841,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
energy,Energy,8,41832,41840,high,case_only,2026-05-12
Analyst,The Analyst,39,41799,41838,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physical Chemistry A,The Journal of Physical Chemistry A,192,40634,40826,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Thoracic and Cardiovascular Surgery,The Journal of Thoracic and Cardiovascular Surgery,16996,23611,40607,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The European Journal of Cancer,European Journal of Cancer,5,40337,40342,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
European journal of cancer,European Journal of Cancer,4,40337,40341,high,case_only,2026-05-12
Materials Today Proceedings,Materials Today: Proceedings,32,40138,40170,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Monthly weather review,Monthly Weather Review,15,40104,40119,high,case_only,2026-05-12
American Journal of Nursing,The American Journal of Nursing,5960,34052,40012,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of dairy science,Journal of Dairy Science,6,39653,39659,high,case_only,2026-05-12
Chemistry – A European Journal,Chemistry - A European Journal,3024,35277,38301,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Chemistry: A European Journal,Chemistry - A European Journal,1356,35277,36633,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Chemistry–A European Journal,Chemistry - A European Journal,1,35277,35278,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Acta Crystallographica Section E-structure Reports Online,Acta Crystallographica Section E Structure Reports Online,27,39612,39639,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
American Journal of Surgery,The American Journal of Surgery,5,39278,39283,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
European psychiatry,European Psychiatry,8778,30313,39091,high,case_only,2026-05-12
THE LARYNGOSCOPE,The Laryngoscope,27,38976,39003,high,case_only,2026-05-12
LaryngoscopeActionsSearch in PubMedSearch in NLM CatalogAdd to Search,The Laryngoscope,6,38976,38982,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The laryngoscope,The Laryngoscope,4,38976,38980,high,case_only,2026-05-12
Laryngoscope,The Laryngoscope,2,38976,38978,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Chemischer Informationsdienst Organische Chemie,Chemischer Informationsdienst. Organische Chemie,1,38964,38965,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physics Condensed Matter,Journal of Physics: Condensed Matter,281,38468,38749,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Physics. Condensed Matter,Journal of Physics: Condensed Matter,2,38468,38470,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of hypertension,Journal of Hypertension,23,38701,38724,high,case_only,2026-05-12
Frontiers in Microbiology.,Frontiers in Microbiology,1,38716,38717,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physica B Condensed Matter,Physica B: Condensed Matter,486,37983,38469,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physica B-condensed Matter,Physica B: Condensed Matter,238,37983,38221,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Physica. B, Condensed matter",Physica B: Condensed Matter,4,37983,37987,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
UrologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Urology,34,38538,38572,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Infectious Diseases,Journal of Infectious Diseases,18280,19735,38015,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of infectious diseases.,Journal of Infectious Diseases,11,19735,19746,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Proceedings.,Proceedings,1738,35835,37573,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
PROCEEDINGS,Proceedings,181,35835,36016,high,case_only,2026-05-12
proceedings,Proceedings,6,35835,35841,high,case_only,2026-05-12
Annals Of Surgery,Annals of Surgery,109,37086,37195,high,case_only,2026-05-12
ANNALS OF SURGERY,Annals of Surgery,30,37086,37116,high,case_only,2026-05-12
ANNALS of SURGERY,Annals of Surgery,25,37086,37111,high,case_only,2026-05-12
Physica Status Solidi (b),physica status solidi (b),1,36993,36994,high,case_only,2026-05-12
Nuclear Instruments and Methods in Physics Research Section B Beam Interactions with Materials and Atoms,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,901,35986,36887,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Nuclear Instruments & Methods in Physics Research Section B-beam Interactions With Materials and Atoms,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,68,35986,36054,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
